,EUR
2010-12-06,1533.83
2010-12-07,1508.03
2010-12-08,1504.8
2010-12-09,1512.74
2010-12-10,1507.36
2010-12-13,1506.85
2010-12-14,1530.8
2010-12-15,1526.34
2010-12-16,1521.89
2010-12-17,1531.55
2010-12-20,1515.14
2010-12-21,1528.81
2010-12-22,1510.07
2010-12-23,1514.63
2010-12-24,1510.31
2010-12-27,1510.33
2010-12-28,1514.65
2010-12-29,1503.97
2010-12-30,1515.37
2010-12-31,1513.6
2011-01-03,1519.24
2011-01-04,1504.87
2011-01-05,1494.01
2011-01-06,1478.76
2011-01-07,1460.65
2011-01-10,1447.23
2011-01-11,1451.18
2011-01-12,1461.13
2011-01-13,1470.28
2011-01-14,1485.45
2011-01-17,1490.74
2011-01-18,1480.77
2011-01-19,1494.61
2011-01-20,1497.37
2011-01-21,1506.22
2011-01-24,1526.48
2011-01-25,1529.1
2011-01-26,1529.1
2011-01-27,1532.16
2011-01-28,1529.43
2011-01-31,1514.0
2011-02-01,1537.43
2011-02-07,1515.81
2011-02-08,1503.42
2011-02-09,1504.91
2011-02-10,1516.39
2011-02-11,1512.76
2011-02-14,1515.02
2011-02-15,1515.8
2011-02-16,1514.36
2011-02-17,1520.45
2011-02-18,1518.81
2011-02-21,1524.36
2011-02-22,1527.01
2011-02-23,1538.43
2011-02-24,1547.86
2011-02-25,1556.25
2011-02-28,1549.45
2011-03-02,1555.6
2011-03-03,1564.75
2011-03-04,1566.93
2011-03-07,1561.9
2011-03-08,1561.04
2011-03-09,1554.08
2011-03-10,1550.74
2011-03-11,1543.22
2011-03-14,1567.61
2011-03-15,1581.04
2011-03-16,1581.9
2011-03-17,1577.14
2011-03-18,1594.23
2011-03-21,1599.53
2011-03-22,1600.8
2011-03-23,1591.08
2011-03-24,1584.59
2011-03-25,1592.02
2011-03-28,1562.92
2011-03-29,1568.63
2011-03-30,1573.76
2011-03-31,1563.48
2011-04-01,1558.07
2011-04-04,1557.12
2011-04-05,1546.44
2011-04-06,1549.83
2011-04-07,1555.63
2011-04-08,1555.89
2011-04-11,1569.6
2011-04-12,1564.95
2011-04-13,1579.96
2011-04-14,1578.12
2011-04-15,1578.1
2011-04-18,1568.53
2011-04-19,1551.31
2011-04-20,1566.69
2011-04-21,1572.29
2011-04-22,1571.82
2011-04-25,1574.99
2011-04-26,1576.72
2011-04-27,1593.79
2011-04-28,1596.04
2011-04-29,1591.24
2011-05-02,1586.61
2011-05-03,1581.37
2011-05-04,1586.63
2011-05-06,1562.95
2011-05-09,1558.28
2011-05-11,1556.68
2011-05-12,1527.54
2011-05-13,1542.04
2011-05-16,1533.01
2011-05-17,1547.02
2011-05-18,1557.37
2011-05-19,1549.36
2011-05-20,1553.51
2011-05-23,1529.1
2011-05-24,1531.38
2011-05-25,1543.39
2011-05-26,1544.08
2011-05-27,1540.99
2011-05-30,1545.76
2011-05-31,1549.69
2011-06-01,1553.27
2011-06-02,1543.77
2011-06-03,1564.74
2011-06-07,1570.94
2011-06-08,1586.97
2011-06-09,1578.12
2011-06-10,1571.9
2011-06-13,1550.01
2011-06-14,1564.94
2011-06-15,1565.06
2011-06-16,1535.09
2011-06-17,1546.18
2011-06-20,1553.77
2011-06-21,1551.79
