,SAR
2018-03-22,285.71
2018-03-23,285.11
2018-03-26,288.21
2018-03-27,288.32
2018-03-28,285.92
2018-03-29,285.17
2018-03-30,284.4
2018-04-02,283.84
2018-04-03,282.16
2018-04-04,282.06
2018-04-05,282.0
2018-04-06,282.51
2018-04-09,284.24
2018-04-10,284.64
2018-04-11,284.7
2018-04-12,284.37
2018-04-13,284.98
2018-04-16,285.33
2018-04-17,286.16
2018-04-18,284.89
2018-04-19,284.38
2018-04-20,283.58
2018-04-23,284.59
2018-04-24,285.02
2018-04-25,287.15
2018-04-26,287.63
2018-04-27,287.9
2018-04-30,286.97
2018-05-02,284.65
2018-05-03,286.61
2018-05-04,287.04
2018-05-08,287.09
2018-05-09,287.49
2018-05-10,288.32
2018-05-11,286.72
2018-05-14,284.93
2018-05-15,284.41
2018-05-16,286.0
2018-05-17,287.63
2018-05-18,287.79
2018-05-21,287.97
2018-05-23,288.99
2018-05-24,287.66
2018-05-25,287.89
2018-05-28,287.63
2018-05-29,286.16
2018-05-30,286.93
2018-05-31,288.32
2018-06-01,287.01
2018-06-04,286.91
2018-06-05,285.55
2018-06-07,285.21
2018-06-08,284.77
2018-06-11,286.18
2018-06-12,286.25
2018-06-14,286.68
2018-06-15,288.66
2018-06-18,291.03
2018-06-19,294.47
2018-06-20,294.76
2018-06-21,295.43
2018-06-22,295.71
2018-06-25,295.68
2018-06-26,297.6
2018-06-27,297.36
2018-06-28,298.08
2018-06-29,299.09
2018-07-02,297.89
2018-07-03,297.95
2018-07-04,298.93
2018-07-05,297.39
2018-07-06,298.21
2018-07-09,298.05
2018-07-10,296.59
2018-07-11,296.98
2018-07-12,298.84
2018-07-13,300.72
2018-07-16,299.54
2018-07-17,300.95
2018-07-18,300.03
2018-07-19,301.01
2018-07-20,301.63
2018-07-23,302.59
2018-07-24,300.91
2018-07-25,302.69
2018-07-26,300.64
2018-07-27,298.53
2018-07-30,298.64
2018-07-31,297.76
2018-08-01,298.08
2018-08-02,298.45
2018-08-03,299.33
2018-08-06,300.8
2018-08-07,299.57
2018-08-08,300.16
2018-08-09,298.32
2018-08-10,298.08
2018-08-13,300.32
2018-08-14,302.28
2018-08-16,301.84
2018-08-17,301.47
2018-08-20,300.11
2018-08-21,299.07
2018-08-22,298.13
2018-08-23,298.27
2018-08-24,298.83
2018-08-27,299.09
2018-08-28,297.1
2018-08-29,295.97
2018-08-30,295.63
2018-08-31,295.63
2018-09-03,296.83
2018-09-04,296.88
2018-09-05,297.05
2018-09-06,297.95
2018-09-07,298.93
2018-09-10,299.44
2018-09-11,300.75
2018-09-12,300.42
2018-09-13,300.54
2018-09-14,298.93
2018-09-17,298.38
2018-09-18,300.28
2018-09-19,300.31
2018-09-20,299.42
2018-09-21,298.6
2018-09-27,297.74
2018-09-28,296.7
2018-10-01,296.04
2018-10-02,296.22
2018-10-04,297.7
2018-10-05,300.87
2018-10-08,301.5
2018-10-10,301.77
2018-10-11,301.94
2018-10-12,304.65
2018-10-15,302.19
2018-10-16,302.01
2018-10-17,300.69
2018-10-18,299.87
2018-10-19,301.87
2018-10-22,302.32
2018-10-23,301.42
2018-10-24,302.73
2018-10-25,301.8
2018-10-26,303.51
2018-10-29,304.08
2018-10-30,303.55
2018-10-31,304.07
2018-11-01,303.69
2018-11-02,303.6
2018-11-05,300.05
2018-11-06,299.31
2018-11-07,299.25
2018-11-08,298.82
2018-11-09,298.15
2018-11-12,300.1
2018-11-13,301.77
2018-11-14,302.77
2018-11-15,301.82
2018-11-16,301.26
2018-11-19,300.85
2018-11-20,300.49
2018-11-21,300.52
2018-11-22,301.52
2018-11-23,300.92
2018-11-26,301.32
2018-11-27,301.14
2018-11-28,301.09
2018-11-29,300.88
2018-11-30,299.01
2018-12-03,298.6
2018-12-04,296.84
2018-12-05,295.8
2018-12-06,296.83
2018-12-07,297.95
2018-12-10,298.04
2018-12-11,299.78
2018-12-12,301.03
2018-12-13,300.56
2018-12-14,299.63
2018-12-17,301.02
2018-12-18,301.69
2018-12-19,301.22
2018-12-20,299.85
2018-12-21,300.84
2018-12-24,299.57
2018-12-26,299.91
2018-12-27,300.01
2018-12-28,298.88
2018-12-31,298.03
2019-01-02,298.05
2019-01-03,298.3
2019-01-04,300.6
2019-01-07,299.99
2019-01-08,298.05
2019-01-09,299.01
2019-01-10,298.98
2019-01-11,298.26
2019-01-14,297.91
2019-01-15,298.95
2019-01-16,298.61
2019-01-17,299.12
2019-01-18,298.97
2019-01-21,298.95
2019-01-22,300.34
2019-01-23,301.34
2019-01-24,300.81
2019-01-25,300.76
2019-01-28,299.97
2019-01-29,297.8
2019-01-30,298.12
2019-01-31,297.88
2019-02-01,296.38
2019-02-07,297.79
2019-02-08,299.55
2019-02-11,299.85
2019-02-12,299.85
2019-02-13,299.87
2019-02-14,299.08
2019-02-15,299.97
2019-02-18,300.69
2019-02-19,299.89
2019-02-20,300.64
2019-02-21,299.33
2019-02-22,299.81
2019-02-25,300.16
2019-02-26,298.85
2019-02-27,298.19
2019-02-28,298.05
2019-03-04,298.61
2019-03-05,299.97
2019-03-06,300.19
2019-03-07,300.72
2019-03-08,300.86
2019-03-11,302.38
2019-03-12,302.51
2019-03-13,300.96
2019-03-14,301.71
2019-03-15,302.03
2019-03-18,302.94
2019-03-19,302.3
2019-03-20,301.55
2019-03-21,301.41
2019-03-22,300.19
2019-03-25,301.26
2019-03-26,302.62
2019-03-27,301.87
2019-03-28,302.56
2019-03-29,303.39
2019-04-01,302.93
2019-04-02,302.03
2019-04-03,302.84
2019-04-04,302.61
2019-04-05,302.76
2019-04-08,303.0
2019-04-09,304.33
2019-04-10,304.7
2019-04-11,304.29
2019-04-12,303.76
2019-04-15,304.11
2019-04-16,302.35
2019-04-17,302.83
2019-04-18,302.95
2019-04-19,302.98
2019-04-22,303.22
2019-04-23,304.2
2019-04-24,304.28
2019-04-25,305.83
2019-04-26,308.97
2019-04-29,309.24
2019-04-30,308.84
2019-05-02,310.32
2019-05-03,310.35
2019-05-07,311.82
2019-05-08,311.92
2019-05-09,311.95
2019-05-10,313.52
2019-05-13,314.13
2019-05-14,315.46
2019-05-15,316.5
2019-05-16,317.16
2019-05-17,317.27
2019-05-20,318.05
2019-05-21,318.1
2019-05-22,318.2
2019-05-23,318.54
2019-05-24,317.64
2019-05-27,317.23
2019-05-28,315.76
2019-05-29,316.68
2019-05-30,318.13
2019-05-31,317.32
2019-06-03,317.64
2019-06-04,315.46
2019-06-05,315.06
2019-06-07,314.6
2019-06-10,314.52
2019-06-11,315.71
2019-06-12,315.07
2019-06-13,315.07
2019-06-14,315.89
2019-06-17,315.68
2019-06-18,316.29
2019-06-19,315.95
2019-06-20,313.81
2019-06-21,311.37
2019-06-24,309.85
2019-06-25,308.74
2019-06-26,307.91
2019-06-27,308.84
2019-06-28,308.47
2019-07-01,308.36
2019-07-02,308.09
2019-07-03,310.6
2019-07-04,312.09
2019-07-05,311.77
2019-07-08,312.09
2019-07-09,314.23
2019-07-10,314.6
2019-07-11,315.0
2019-07-12,312.98
2019-07-15,313.91
2019-07-16,314.41
2019-07-17,314.2
2019-07-18,314.7
2019-07-19,314.46
2019-07-22,312.84
2019-07-23,313.96
2019-07-24,314.2
2019-07-25,314.12
2019-07-26,314.58
2019-07-29,315.72
2019-07-30,315.5
2019-07-31,315.13
2019-08-01,315.13
2019-08-02,316.86
2019-08-05,318.49
2019-08-06,323.04
2019-08-07,323.73
2019-08-08,323.73
2019-08-09,322.88
2019-08-12,322.45
2019-08-13,324.02
2019-08-14,324.95
2019-08-16,323.05
2019-08-19,323.48
2019-08-20,322.81
2019-08-21,322.68
2019-08-22,321.03
2019-08-23,321.33
2019-08-26,323.23
2019-08-27,324.83
2019-08-28,323.47
2019-08-29,323.57
2019-08-30,324.03
2019-09-02,322.54
2019-09-03,323.13
2019-09-04,324.0
2019-09-05,322.53
2019-09-06,319.78
2019-09-09,319.06
2019-09-10,317.91
2019-09-11,317.73
2019-09-16,317.63
2019-09-17,315.64
2019-09-18,316.8
2019-09-19,317.38
2019-09-20,318.62
2019-09-23,317.53
2019-09-24,318.06
2019-09-25,318.32
2019-09-26,319.46
2019-09-27,319.67
2019-09-30,320.25
2019-10-01,319.68
2019-10-02,319.42
2019-10-04,320.9
2019-10-07,319.11
2019-10-08,319.0
2019-10-10,318.54
2019-10-11,318.9
2019-10-14,317.09
2019-10-15,315.59
2019-10-16,315.69
2019-10-17,316.47
2019-10-18,316.36
2019-10-21,314.73
2019-10-22,313.37
2019-10-23,312.32
2019-10-24,312.93
2019-10-25,312.23
2019-10-28,313.05
2019-10-29,311.86
2019-10-30,311.03
2019-10-31,311.55
2019-11-01,309.76
2019-11-04,311.35
2019-11-05,309.42
2019-11-06,309.34
2019-11-07,308.65
2019-11-08,309.48
2019-11-11,308.26
2019-11-12,309.66
2019-11-13,310.25
2019-11-14,311.34
2019-11-15,312.09
2019-11-18,310.99
2019-11-19,310.52
2019-11-20,311.61
2019-11-21,312.01
2019-11-22,313.72
2019-11-25,314.08
2019-11-26,313.64
2019-11-27,313.16
2019-11-28,313.59
2019-11-29,314.49
2019-12-02,314.76
2019-12-03,314.77
2019-12-04,316.32
2019-12-05,318.32
2019-12-06,317.39
2019-12-09,317.25
2019-12-10,317.15
2019-12-11,317.86
2019-12-12,318.2
2019-12-13,316.94
2019-12-16,312.42
2019-12-17,312.73
2019-12-18,311.07
2019-12-19,310.67
2019-12-20,310.41
2019-12-23,309.9
2019-12-24,309.9
2019-12-26,310.07
2019-12-27,309.41
2019-12-30,309.34
2019-12-31,308.64
2020-01-02,308.64
2020-01-03,308.42
2020-01-06,309.88
2020-01-07,311.78
2020-01-08,310.63
2020-01-09,312.98
2020-01-10,309.22
2020-01-13,309.45
2020-01-14,308.06
2020-01-15,307.35
2020-01-16,308.88
