,AUD
2010-12-07,1121.81
2010-12-08,1115.54
2010-12-09,1116.8
2010-12-10,1120.24
2010-12-13,1122.88
2010-12-14,1137.73
2010-12-15,1139.29
2010-12-16,1136.06
2010-12-17,1145.22
2010-12-20,1136.53
2010-12-21,1156.92
2010-12-22,1150.01
2010-12-23,1154.86
2010-12-24,1154.67
2010-12-27,1153.67
2010-12-28,1155.66
2010-12-29,1158.98
2010-12-30,1166.56
2010-12-31,1157.92
2011-01-03,1163.44
2011-01-04,1145.15
2011-01-05,1128.81
2011-01-06,1124.38
2011-01-07,1117.48
2011-01-10,1116.21
2011-01-11,1112.87
2011-01-12,1106.32
2011-01-13,1114.9
2011-01-14,1111.25
2011-01-17,1104.28
2011-01-18,1107.4
2011-01-19,1115.01
2011-01-20,1110.44
2011-01-21,1103.55
2011-01-24,1109.55
2011-01-25,1118.28
2011-01-26,1113.41
2011-01-27,1115.85
2011-01-28,1103.27
2011-01-31,1102.43
2011-02-01,1119.16
2011-02-07,1131.89
2011-02-08,1121.78
2011-02-09,1119.75
2011-02-10,1117.01
2011-02-11,1113.4
2011-02-14,1121.54
2011-02-15,1126.93
2011-02-16,1119.02
2011-02-17,1123.61
2011-02-18,1128.81
2011-02-21,1129.03
2011-02-22,1125.78
2011-02-23,1126.29
2011-02-24,1129.01
2011-02-25,1138.23
2011-02-28,1143.63
2011-03-02,1143.98
2011-03-03,1146.74
2011-03-04,1137.08
2011-03-07,1133.17
2011-03-08,1130.81
2011-03-09,1128.63
2011-03-10,1126.69
2011-03-11,1119.74
2011-03-14,1136.25
2011-03-15,1140.99
2011-03-16,1120.38
2011-03-17,1109.41
2011-03-18,1113.08
2011-03-21,1123.17
2011-03-22,1132.71
2011-03-23,1131.96
2011-03-24,1138.42
2011-03-25,1145.82
2011-03-28,1141.75
2011-03-29,1140.94
2011-03-30,1147.09
2011-03-31,1142.08
2011-04-01,1137.01
2011-04-04,1137.78
2011-04-05,1126.68
2011-04-06,1124.73
2011-04-07,1132.66
2011-04-08,1137.78
2011-04-11,1147.1
2011-04-12,1137.64
2011-04-13,1141.43
2011-04-14,1146.41
2011-04-15,1148.17
2011-04-18,1148.93
2011-04-19,1142.98
2011-04-20,1151.65
2011-04-21,1157.55
2011-04-22,1160.57
2011-04-25,1163.75
2011-04-26,1159.85
2011-04-27,1171.74
2011-04-28,1172.83
2011-04-29,1172.67
2011-05-02,1173.65
2011-05-03,1167.99
2011-05-04,1161.11
2011-05-06,1139.29
2011-05-09,1162.79
2011-05-11,1172.23
2011-05-12,1150.73
2011-05-13,1154.7
2011-05-16,1149.66
2011-05-17,1155.25
2011-05-18,1160.1
2011-05-19,1155.11
2011-05-20,1157.21
2011-05-23,1151.4
2011-05-24,1146.5
2011-05-25,1155.56
2011-05-26,1155.01
2011-05-27,1158.71
2011-05-30,1158.5
2011-05-31,1157.48
2011-06-01,1150.24
2011-06-02,1144.7
2011-06-03,1153.27
2011-06-07,1155.94
2011-06-08,1157.86
2011-06-09,1150.66
2011-06-10,1150.74
2011-06-13,1139.42
2011-06-14,1151.22
2011-06-15,1157.67
2011-06-16,1144.91
2011-06-17,1149.77
2011-06-20,1153.3
2011-06-21,1147.54
2011-06-22,1144.82
2011-06-23,1134.82
2011-06-24,1135.16
2011-06-27,1128.13
2011-06-28,1136.85
2011-06-29,1139.89
2011-06-30,1152.65
2011-07-01,1146.24
2011-07-04,1149.21
2011-07-05,1142.36
2011-07-06,1139.29
2011-07-07,1138.75
2011-07-08,1146.3
2011-07-11,1134.66
2011-07-12,1127.04
2011-07-13,1130.12
2011-07-14,1144.96
2011-07-15,1133.31
2011-07-18,1126.45
2011-07-19,1126.84
2011-07-20,1137.8
2011-07-21,1136.4
2011-07-22,1143.26
2011-07-25,1139.45
2011-07-26,1144.03
2011-07-27,1153.82
2011-07-28,1158.84
2011-07-29,1157.81
2011-08-01,1160.15
2011-08-02,1151.56
2011-08-03,1129.57
