,CNH
2017-03-07,167.74
2017-03-08,166.84
2017-03-09,166.05
2017-03-10,166.9
2017-03-13,167.71
2017-03-14,166.62
2017-03-15,166.24
2017-03-16,166.34
2017-03-17,164.83
2017-03-20,164.53
2017-03-21,163.44
2017-03-22,162.09
2017-03-23,163.57
2017-03-24,162.91
2017-03-27,163.21
2017-03-28,162.48
2017-03-29,162.15
2017-03-30,162.02
2017-03-31,162.27
2017-04-03,162.53
2017-04-04,162.01
2017-04-05,162.67
2017-04-06,163.39
2017-04-07,164.27
2017-04-10,164.46
2017-04-11,165.3
2017-04-12,165.83
2017-04-13,165.94
2017-04-14,164.5
2017-04-17,165.47
2017-04-18,165.22
2017-04-19,165.45
2017-04-20,165.8
2017-04-21,165.85
2017-04-24,165.22
2017-04-25,164.53
2017-04-26,164.26
2017-04-27,163.37
2017-04-28,163.71
2017-05-02,164.35
2017-05-04,163.9
2017-05-08,164.16
2017-05-10,163.9
2017-05-11,164.07
2017-05-12,163.61
2017-05-15,163.3
2017-05-16,163.06
2017-05-17,162.36
2017-05-18,162.76
2017-05-19,163.66
2017-05-22,163.67
2017-05-23,162.36
2017-05-24,162.89
2017-05-25,163.6
2017-05-26,162.73
2017-05-29,163.53
2017-05-30,164.3
2017-05-31,164.59
2017-06-01,164.63
2017-06-02,166.26
2017-06-05,165.22
2017-06-07,165.06
2017-06-08,165.88
2017-06-09,166.21
2017-06-12,165.14
2017-06-13,165.82
2017-06-14,166.24
2017-06-15,165.87
2017-06-16,165.63
2017-06-19,166.06
2017-06-20,166.01
2017-06-21,166.42
2017-06-22,167.25
2017-06-23,167.07
2017-06-26,166.72
2017-06-27,165.84
2017-06-28,165.84
2017-06-29,167.9
2017-06-30,167.79
2017-07-03,168.97
2017-07-04,168.97
2017-07-05,168.91
2017-07-06,169.02
2017-07-07,169.48
2017-07-10,169.94
2017-07-11,169.09
2017-07-12,168.88
2017-07-13,168.72
2017-07-14,167.75
2017-07-17,167.59
2017-07-18,166.76
2017-07-19,166.68
2017-07-20,166.25
2017-07-21,166.35
2017-07-24,165.92
2017-07-25,165.29
2017-07-26,165.44
2017-07-27,165.73
2017-07-28,165.28
2017-07-31,165.85
2017-08-01,166.67
2017-08-02,166.26
2017-08-03,166.94
2017-08-04,167.47
2017-08-07,167.37
2017-08-08,167.49
2017-08-09,167.61
2017-08-10,169.27
2017-08-11,170.69
2017-08-14,171.57
2017-08-16,170.42
2017-08-17,170.14
2017-08-18,170.01
2017-08-21,170.82
2017-08-22,170.44
2017-08-23,170.45
2017-08-24,169.63
2017-08-25,169.33
2017-08-28,169.55
2017-08-29,168.82
2017-08-30,170.26
2017-08-31,170.23
2017-09-01,170.51
2017-09-04,170.5
2017-09-05,172.63
2017-09-06,172.98
2017-09-07,173.32
2017-09-08,172.84
2017-09-11,174.14
2017-09-12,173.26
2017-09-13,172.62
2017-09-14,172.61
2017-09-15,172.88
2017-09-18,173.08
2017-09-19,172.25
2017-09-20,171.59
2017-09-21,171.79
2017-09-22,171.86
2017-09-25,172.71
2017-09-26,171.48
2017-09-27,171.82
2017-09-28,171.83
2017-09-29,172.35
2017-10-10,171.98
2017-10-11,172.78
2017-10-12,172.77
2017-10-13,172.31
2017-10-16,172.09
2017-10-17,171.55
2017-10-18,171.52
2017-10-19,171.1
2017-10-20,170.87
2017-10-23,171.03
2017-10-24,170.63
2017-10-25,170.16
2017-10-26,169.96
2017-10-27,169.58
2017-10-30,169.72
2017-10-31,169.25
2017-11-01,169.06
2017-11-02,168.45
2017-11-03,168.68
2017-11-06,168.24
2017-11-07,168.32
2017-11-08,167.84
2017-11-09,167.87
2017-11-10,167.92
2017-11-13,168.16
2017-11-14,168.37
2017-11-15,168.25
2017-11-16,168.05
2017-11-17,166.53
2017-11-20,165.35
2017-11-21,165.4
2017-11-22,165.11
2017-11-23,164.76
2017-11-24,165.08
2017-11-27,164.82
2017-11-28,164.86
2017-11-29,164.98
2017-11-30,164.01
2017-12-01,163.99
2017-12-04,164.36
2017-12-05,164.53
2017-12-06,164.03
2017-12-07,164.88
2017-12-08,165.18
2017-12-11,165.14
2017-12-12,165.03
2017-12-13,164.5
2017-12-14,164.87
2017-12-15,164.41
2017-12-18,164.91
2017-12-19,164.72
2017-12-20,164.43
2017-12-21,164.28
2017-12-22,164.66
2017-12-26,164.3
2017-12-27,164.58
2017-12-28,164.15
2017-12-29,163.65
2018-01-02,163.65
2018-01-03,163.82
2018-01-04,163.9
2018-01-05,163.92
2018-01-08,163.86
2018-01-09,164.31
2018-01-10,164.08
2018-01-11,163.86
2018-01-12,164.16
2018-01-15,164.1
2018-01-16,164.87
2018-01-17,165.37
2018-01-18,165.65
2018-01-19,166.07
2018-01-22,166.74
2018-01-23,166.86
2018-01-24,167.19
2018-01-25,167.44
2018-01-26,167.42
2018-01-29,168.15
2018-01-30,168.33
2018-01-31,168.99
2018-02-01,169.26
2018-02-02,170.09
2018-02-05,171.15
2018-02-06,172.79
2018-02-07,173.7
2018-02-08,172.87
2018-02-09,172.17
2018-02-12,171.91
2018-02-13,171.7
2018-02-14,171.06
2018-02-19,170.57
2018-02-20,169.52
2018-02-21,169.53
2018-02-22,169.53
2018-02-23,170.74
2018-02-26,170.2
2018-02-27,169.98
2018-02-28,170.2
2018-03-02,170.99
2018-03-05,170.21
2018-03-06,170.7
2018-03-07,169.71
2018-03-08,168.96
2018-03-09,168.89
2018-03-12,168.58
2018-03-13,168.24
2018-03-14,168.55
2018-03-15,168.74
2018-03-16,169.04
2018-03-19,169.05
2018-03-20,169.15
2018-03-21,169.35
2018-03-22,169.21
2018-03-23,169.3
2018-03-26,170.6
2018-03-27,171.35
2018-03-28,171.52
2018-03-29,170.61
2018-03-30,169.68
2018-04-02,169.8
2018-04-03,168.83
2018-04-04,168.6
2018-04-05,168.26
2018-04-06,168.56
2018-04-09,169.02
2018-04-10,169.41
2018-04-11,169.41
2018-04-12,169.91
2018-04-13,170.37
2018-04-16,170.27
2018-04-17,170.85
2018-04-18,170.33
2018-04-19,169.59
2018-04-20,169.86
2018-04-23,170.03
2018-04-24,169.89
2018-04-25,170.56
2018-04-26,171.07
2018-04-27,170.69
2018-04-30,169.94
2018-05-02,169.07
2018-05-03,169.04
2018-05-04,169.07
2018-05-08,169.71
2018-05-09,169.5
2018-05-10,169.76
2018-05-11,169.22
2018-05-14,168.69
2018-05-15,168.42
2018-05-16,169.23
2018-05-17,169.48
2018-05-18,169.9
2018-05-21,169.92
2018-05-23,170.09
2018-05-24,169.57
2018-05-25,169.11
2018-05-28,169.01
2018-05-29,168.15
2018-05-30,167.96
2018-05-31,168.27
2018-06-01,167.99
2018-06-04,167.76
2018-06-05,166.94
2018-06-07,166.86
2018-06-08,167.31
2018-06-11,167.78
2018-06-12,167.6
2018-06-14,167.73
2018-06-15,169.44
2018-06-18,169.97
2018-06-19,171.19
2018-06-20,171.2
2018-06-21,171.16
2018-06-22,170.78
2018-06-25,170.43
2018-06-26,170.66
2018-06-27,170.1
2018-06-28,169.36
2018-06-29,169.41
2018-07-02,168.42
2018-07-03,168.19
2018-07-04,167.03
2018-07-05,168.01
2018-07-06,168.27
2018-07-09,167.67
2018-07-10,167.49
2018-07-11,168.46
2018-07-12,167.78
2018-07-13,167.98
2018-07-16,168.16
2018-07-17,168.26
2018-07-18,168.06
2018-07-19,167.8
2018-07-20,167.19
2018-07-23,166.71
2018-07-24,166.58
2018-07-25,166.1
2018-07-26,165.52
2018-07-27,165.46
2018-07-30,164.48
2018-07-31,163.32
2018-08-01,163.66
2018-08-02,163.85
2018-08-03,164.44
2018-08-06,163.88
2018-08-07,164.22
2018-08-08,163.97
2018-08-09,163.96
2018-08-10,163.78
2018-08-13,164.36
2018-08-14,164.78
2018-08-16,164.26
2018-08-17,163.53
2018-08-20,163.77
2018-08-21,163.88
2018-08-22,163.64
2018-08-23,163.64
2018-08-24,163.29
2018-08-27,163.17
2018-08-28,163.76
2018-08-29,163.13
2018-08-30,162.85
2018-08-31,162.29
2018-09-03,162.58
2018-09-04,162.73
2018-09-05,163.1
2018-09-06,162.97
2018-09-07,163.66
2018-09-10,164.12
2018-09-11,164.15
2018-09-12,164.1
2018-09-13,163.72
2018-09-14,163.67
2018-09-17,163.46
2018-09-18,163.88
2018-09-19,163.83
2018-09-20,163.86
2018-09-21,163.36
2018-09-27,163.34
2018-09-28,161.78
2018-10-01,161.27
2018-10-02,161.36
2018-10-04,162.13
2018-10-05,163.46
2018-10-08,163.91
2018-10-10,163.92
2018-10-11,163.62
2018-10-12,164.64
2018-10-15,164.43
2018-10-16,163.9
2018-10-17,162.99
2018-10-18,162.55
2018-10-19,163.29
2018-10-22,163.41
2018-10-23,163.22
2018-10-24,163.51
2018-10-25,162.99
2018-10-26,163.7
2018-10-29,163.81
2018-10-30,163.55
2018-10-31,163.59
2018-11-01,163.4
2018-11-02,163.26
2018-11-05,162.78
2018-11-06,162.64
2018-11-07,162.32
2018-11-08,161.86
2018-11-09,161.5
2018-11-12,162.15
2018-11-13,162.79
2018-11-14,163.16
2018-11-15,162.96
2018-11-16,162.96
2018-11-19,162.86
2018-11-20,162.58
2018-11-21,162.54
2018-11-22,162.94
2018-11-23,163.09
2018-11-26,163.05
2018-11-27,162.81
2018-11-28,162.66
2018-11-29,162.46
2018-11-30,161.73
2018-12-03,161.49
2018-12-04,161.02
2018-12-05,161.89
2018-12-06,162.28
2018-12-07,162.47
2018-12-10,162.51
2018-12-11,162.98
2018-12-12,163.49
2018-12-13,163.78
2018-12-14,163.65
2018-12-17,164.05
2018-12-18,163.99
2018-12-19,163.94
2018-12-20,163.35
2018-12-21,163.44
2018-12-24,163.0
2018-12-26,162.82
2018-12-27,163.2
2018-12-28,162.6
2018-12-31,162.76
2019-01-02,162.76
2019-01-03,163.02
2019-01-04,163.74
2019-01-07,163.72
2019-01-08,163.21
2019-01-09,163.55
2019-01-10,163.81
2019-01-11,164.6
2019-01-14,165.36
2019-01-15,165.95
2019-01-16,165.83
2019-01-17,165.61
2019-01-18,165.67
2019-01-21,165.29
2019-01-22,165.66
2019-01-23,165.92
2019-01-24,165.85
2019-01-25,166.05
2019-01-28,165.73
2019-01-29,165.63
2019-01-30,165.6
2019-01-31,165.89
2019-02-01,165.55
2019-02-07,165.86
2019-02-08,165.75
2019-02-11,165.5
2019-02-12,165.8
2019-02-13,165.47
