,IDR(100)
2015-02-09,8.63
2015-02-10,8.67
2015-02-11,8.61
2015-02-12,8.63
2015-02-13,8.66
2015-02-16,8.59
2015-02-17,8.62
2015-02-23,8.6
2015-02-24,8.65
2015-02-25,8.6
2015-02-26,8.56
2015-02-27,8.56
2015-03-02,8.51
2015-03-03,8.5
2015-03-04,8.48
2015-03-05,8.45
2015-03-06,8.47
2015-03-09,8.47
2015-03-10,8.51
2015-03-11,8.55
2015-03-12,8.54
2015-03-13,8.58
2015-03-16,8.53
2015-03-17,8.56
2015-03-18,8.58
2015-03-19,8.55
2015-03-20,8.55
2015-03-23,8.55
2015-03-24,8.57
2015-03-25,8.58
2015-03-26,8.49
2015-03-27,8.48
2015-03-30,8.45
2015-03-31,8.45
2015-04-01,8.48
2015-04-02,8.46
2015-04-03,8.44
2015-04-06,8.42
2015-04-07,8.38
2015-04-08,8.39
2015-04-09,8.44
2015-04-10,8.48
2015-04-13,8.48
2015-04-14,8.45
2015-04-15,8.45
2015-04-16,8.5
2015-04-17,8.47
2015-04-20,8.44
2015-04-21,8.4
2015-04-22,8.36
2015-04-23,8.39
2015-04-24,8.36
2015-04-27,8.35
2015-04-28,8.28
2015-04-29,8.25
2015-04-30,8.25
2015-05-04,8.25
2015-05-06,8.28
2015-05-07,8.29
2015-05-08,8.27
2015-05-11,8.31
2015-05-12,8.29
2015-05-13,8.31
2015-05-14,8.33
2015-05-15,8.32
2015-05-18,8.32
2015-05-19,8.26
2015-05-20,8.32
2015-05-21,8.31
2015-05-22,8.34
2015-05-26,8.27
2015-05-27,8.31
2015-05-28,8.39
2015-05-29,8.38
2015-06-01,8.38
2015-06-02,8.41
2015-06-03,8.43
2015-06-04,8.37
2015-06-05,8.36
2015-06-08,8.38
2015-06-09,8.38
2015-06-10,8.41
2015-06-11,8.39
2015-06-12,8.34
2015-06-15,8.34
2015-06-16,8.37
2015-06-17,8.37
2015-06-18,8.36
2015-06-19,8.34
2015-06-22,8.28
2015-06-23,8.26
2015-06-24,8.33
2015-06-25,8.33
2015-06-26,8.33
2015-06-29,8.38
2015-06-30,8.42
2015-07-01,8.39
2015-07-02,8.39
2015-07-03,8.42
2015-07-06,8.41
2015-07-07,8.44
2015-07-08,8.48
2015-07-09,8.51
2015-07-10,8.52
2015-07-13,8.49
2015-07-14,8.51
2015-07-15,8.54
2015-07-16,8.55
2015-07-17,8.61
2015-07-20,8.59
2015-07-21,8.63
2015-07-22,8.68
2015-07-23,8.62
2015-07-24,8.66
2015-07-27,8.66
2015-07-28,8.68
2015-07-29,8.66
2015-07-30,8.61
2015-07-31,8.66
2015-08-03,8.64
2015-08-04,8.63
2015-08-05,8.67
2015-08-06,8.67
2015-08-07,8.64
2015-08-10,8.6
2015-08-11,8.6
2015-08-12,8.61
2015-08-13,8.63
2015-08-17,8.52
2015-08-18,8.57
2015-08-19,8.57
2015-08-20,8.56
2015-08-21,8.54
2015-08-24,8.55
2015-08-25,8.53
2015-08-26,8.49
2015-08-27,8.42
2015-08-28,8.46
2015-08-31,8.41
2015-09-01,8.42
2015-09-02,8.34
2015-09-03,8.34
2015-09-04,8.38
2015-09-07,8.41
2015-09-08,8.44
2015-09-09,8.43
2015-09-10,8.36
2015-09-11,8.34
2015-09-14,8.26
2015-09-15,8.23
2015-09-16,8.21
2015-09-17,8.16
2015-09-18,8.09
2015-09-21,8.12
2015-09-22,8.11
2015-09-23,8.12
2015-09-24,8.11
2015-09-25,8.14
2015-09-30,8.14
2015-10-01,8.13
2015-10-02,8.04
2015-10-05,8.06
2015-10-06,8.09
2015-10-07,8.18
2015-10-08,8.43
2015-10-12,8.64
2015-10-13,8.56
2015-10-14,8.43
2015-10-15,8.44
2015-10-16,8.43
2015-10-19,8.34
2015-10-20,8.32
2015-10-21,8.28
2015-10-22,8.25
2015-10-23,8.33
2015-10-26,8.27
2015-10-27,8.31
2015-10-28,8.3
2015-10-29,8.41
2015-10-30,8.38
2015-11-02,8.32
2015-11-03,8.34
2015-11-04,8.36
2015-11-05,8.33
2015-11-06,8.38
2015-11-09,8.4
2015-11-10,8.46
2015-11-11,8.51
2015-11-12,8.49
2015-11-13,8.49
2015-11-16,8.5
2015-11-17,8.54
2015-11-18,8.5
2015-11-19,8.5
2015-11-20,8.45
2015-11-23,8.47
2015-11-24,8.44
2015-11-25,8.43
2015-11-26,8.37
2015-11-27,8.35
2015-11-30,8.35
2015-12-01,8.37
2015-12-02,8.4
2015-12-03,8.4
2015-12-04,8.43
2015-12-07,8.36
2015-12-08,8.43
2015-12-09,8.48
2015-12-10,8.49
2015-12-11,8.45
2015-12-14,8.46
2015-12-15,8.43
2015-12-16,8.42
2015-12-17,8.37
2015-12-18,8.42
2015-12-21,8.51
2015-12-22,8.55
2015-12-23,8.6
2015-12-24,8.59
2015-12-28,8.58
2015-12-29,8.53
2015-12-30,8.5
2015-12-31,8.5
2016-01-04,8.5
2016-01-05,8.51
2016-01-06,8.57
2016-01-07,8.56
2016-01-08,8.61
2016-01-11,8.59
2016-01-12,8.71
2016-01-13,8.69
2016-01-14,8.72
2016-01-15,8.72
2016-01-18,8.72
2016-01-19,8.7
2016-01-20,8.72
2016-01-21,8.68
2016-01-22,8.7
2016-01-25,8.69
2016-01-26,8.61
2016-01-27,8.64
2016-01-28,8.65
2016-01-29,8.71
2016-02-01,8.76
2016-02-02,8.83
2016-02-03,8.79
2016-02-04,8.84
2016-02-05,8.82
2016-02-11,8.88
2016-02-12,8.89
2016-02-15,8.94
2016-02-16,9.05
2016-02-17,9.08
2016-02-18,9.07
2016-02-19,9.08
2016-02-22,9.14
2016-02-23,9.18
2016-02-24,9.16
2016-02-25,9.21
2016-02-26,9.22
2016-02-29,9.24
2016-03-02,9.3
2016-03-03,9.28
2016-03-04,9.21
2016-03-07,9.2
2016-03-08,9.17
2016-03-09,9.17
2016-03-10,9.24
2016-03-11,9.25
2016-03-14,9.18
2016-03-15,9.08
2016-03-16,9.02
2016-03-17,8.99
2016-03-18,8.97
2016-03-21,8.85
2016-03-22,8.87
2016-03-23,8.8
2016-03-24,8.79
2016-03-25,8.81
2016-03-28,8.82
2016-03-29,8.75
2016-03-30,8.68
2016-03-31,8.69
2016-04-01,8.63
2016-04-04,8.73
2016-04-05,8.72
2016-04-06,8.74
2016-04-07,8.74
2016-04-08,8.77
2016-04-11,8.8
2016-04-12,8.75
2016-04-14,8.7
2016-04-15,8.75
2016-04-18,8.73
2016-04-19,8.74
2016-04-20,8.67
2016-04-21,8.62
2016-04-22,8.63
2016-04-25,8.65
2016-04-26,8.71
2016-04-27,8.71
2016-04-28,8.68
2016-04-29,8.67
2016-05-02,8.63
2016-05-03,8.66
2016-05-04,8.62
2016-05-09,8.71
2016-05-10,8.76
2016-05-11,8.84
2016-05-12,8.78
2016-05-13,8.75
2016-05-16,8.78
2016-05-17,8.86
2016-05-18,8.82
2016-05-19,8.82
2016-05-20,8.78
2016-05-23,8.73
2016-05-24,8.71
2016-05-25,8.68
2016-05-26,8.68
2016-05-27,8.68
2016-05-30,8.68
2016-05-31,8.73
2016-06-01,8.72
2016-06-02,8.73
2016-06-03,8.72
2016-06-07,8.87
2016-06-08,8.77
2016-06-09,8.72
2016-06-10,8.71
2016-06-13,8.75
2016-06-14,8.83
2016-06-15,8.77
2016-06-16,8.8
2016-06-17,8.75
2016-06-20,8.78
2016-06-21,8.77
2016-06-22,8.73
2016-06-23,8.7
2016-06-24,8.68
2016-06-27,8.73
2016-06-28,8.87
2016-06-29,8.92
2016-06-30,8.85
2016-07-01,8.72
2016-07-04,8.73
2016-07-05,8.75
2016-07-06,8.78
2016-07-07,8.88
2016-07-08,8.81
2016-07-11,8.83
2016-07-12,8.77
2016-07-13,8.76
2016-07-14,8.75
2016-07-15,8.73
2016-07-18,8.65
2016-07-19,8.68
2016-07-20,8.7
2016-07-21,8.7
2016-07-22,8.7
2016-07-25,8.66
2016-07-26,8.65
2016-07-27,8.65
2016-07-28,8.63
2016-07-29,8.59
2016-08-01,8.57
2016-08-02,8.5
2016-08-03,8.47
2016-08-04,8.49
2016-08-05,8.48
2016-08-08,8.46
2016-08-09,8.47
2016-08-10,8.43
2016-08-11,8.36
2016-08-12,8.38
2016-08-16,8.4
2016-08-17,8.36
2016-08-18,8.42
2016-08-19,8.44
2016-08-22,8.48
2016-08-23,8.52
2016-08-24,8.45
2016-08-25,8.47
2016-08-26,8.45
2016-08-29,8.43
2016-08-30,8.48
2016-08-31,8.42
2016-09-01,8.42
2016-09-02,8.44
2016-09-05,8.44
2016-09-06,8.43
2016-09-07,8.42
2016-09-08,8.35
2016-09-09,8.37
2016-09-12,8.39
2016-09-13,8.48
2016-09-19,8.45
2016-09-20,8.51
2016-09-21,8.51
2016-09-22,8.5
2016-09-23,8.43
2016-09-26,8.44
2016-09-27,8.5
2016-09-28,8.52
2016-09-29,8.46
2016-09-30,8.45
2016-10-04,8.49
2016-10-05,8.51
2016-10-06,8.57
2016-10-07,8.56
2016-10-10,8.59
2016-10-11,8.56
2016-10-12,8.59
2016-10-13,8.63
2016-10-14,8.64
2016-10-17,8.68
2016-10-18,8.73
2016-10-19,8.69
2016-10-20,8.63
2016-10-21,8.64
2016-10-24,8.7
2016-10-25,8.72
2016-10-26,8.74
2016-10-27,8.71
2016-10-28,8.75
2016-10-31,8.78
2016-11-01,8.77
2016-11-02,8.76
2016-11-03,8.8
2016-11-04,8.72
2016-11-07,8.75
2016-11-08,8.72
2016-11-09,8.69
2016-11-10,8.75
2016-11-11,8.76
2016-11-14,8.76
2016-11-15,8.76
2016-11-16,8.75
2016-11-17,8.73
2016-11-18,8.78
2016-11-21,8.81
2016-11-22,8.82
2016-11-23,8.74
2016-11-24,8.71
2016-11-25,8.72
2016-11-28,8.72
2016-11-29,8.65
2016-11-30,8.61
2016-12-01,8.62
2016-12-02,8.66
2016-12-05,8.65
2016-12-06,8.74
2016-12-07,8.74
2016-12-08,8.78
2016-12-09,8.72
2016-12-12,8.75
2016-12-13,8.78
2016-12-14,8.76
2016-12-15,8.79
2016-12-16,8.81
2016-12-19,8.84
2016-12-20,8.86
2016-12-21,8.87
2016-12-22,8.87
2016-12-23,8.91
2016-12-26,8.94
2016-12-27,8.92
2016-12-28,8.96
2016-12-29,8.98
2016-12-30,8.98
2017-01-02,8.97
2017-01-03,8.96
2017-01-04,8.95
2017-01-05,8.98
2017-01-06,8.91
2017-01-09,8.9
2017-01-10,9.02
2017-01-11,9.0
2017-01-12,8.98
2017-01-13,8.9
2017-01-16,8.83
2017-01-17,8.83
2017-01-18,8.84
2017-01-19,8.74
2017-01-20,8.8
2017-01-23,8.74
2017-01-24,8.73
2017-01-25,8.73
2017-01-26,8.73
2017-01-31,8.68
2017-02-01,8.73
2017-02-02,8.64
2017-02-03,8.61
2017-02-06,8.59
2017-02-07,8.54
2017-02-08,8.57
2017-02-09,8.6
2017-02-10,8.61
2017-02-13,8.65
2017-02-14,8.64
2017-02-15,8.59
2017-02-16,8.56
2017-02-17,8.55
2017-02-20,8.59
2017-02-21,8.59
2017-02-22,8.58
2017-02-23,8.54
2017-02-24,8.53
2017-02-27,8.48
2017-02-28,8.48
2017-03-02,8.47
2017-03-03,8.55
2017-03-06,8.61
2017-03-07,8.66
2017-03-08,8.63
2017-03-09,8.59
2017-03-10,8.64
2017-03-13,8.66
2017-03-14,8.59
2017-03-15,8.58
2017-03-16,8.58
2017-03-17,8.48
2017-03-20,8.48
2017-03-21,8.45
2017-03-22,8.39
2017-03-23,8.43
2017-03-24,8.41
2017-03-27,8.42
2017-03-28,8.37
2017-03-29,8.36
2017-03-30,8.37
2017-03-31,8.38
2017-04-03,8.4
2017-04-04,8.36
2017-04-05,8.4
2017-04-06,8.44
2017-04-07,8.48
2017-04-10,8.52
2017-04-11,8.59
2017-04-12,8.63
2017-04-13,8.63
2017-04-14,8.54
2017-04-17,8.59
2017-04-18,8.55
2017-04-19,8.56
2017-04-20,8.57
2017-04-21,8.57
2017-04-24,8.53
2017-04-25,8.5
2017-04-26,8.51
2017-04-27,8.47
2017-04-28,8.49
2017-05-02,8.5
2017-05-04,8.5
2017-05-08,8.49
2017-05-10,8.48
2017-05-11,8.49
2017-05-12,8.46
2017-05-15,8.45
2017-05-16,8.46
2017-05-17,8.4
2017-05-18,8.39
2017-05-19,8.42
2017-05-22,8.46
2017-05-23,8.4
2017-05-24,8.42
2017-05-25,8.47
2017-05-26,8.4
2017-05-29,8.42
2017-05-30,8.41
2017-05-31,8.44
2017-06-01,8.42
2017-06-02,8.41
2017-06-05,8.43
2017-06-07,8.41
2017-06-08,8.43
2017-06-09,8.46
2017-06-12,8.44
2017-06-13,8.47
2017-06-14,8.49
2017-06-15,8.47
2017-06-16,8.45
2017-06-19,8.52
2017-06-20,8.51
2017-06-21,8.56
2017-06-22,8.58
2017-06-23,8.56
2017-06-26,8.55
2017-06-27,8.52
2017-06-28,8.53
2017-06-29,8.57
2017-06-30,8.55
2017-07-03,8.58
2017-07-04,8.57
2017-07-05,8.6
2017-07-06,8.6
2017-07-07,8.62
2017-07-10,8.62
2017-07-11,8.58
2017-07-12,8.59
2017-07-13,8.57
2017-07-14,8.52
2017-07-17,8.52
2017-07-18,8.47
2017-07-19,8.46
2017-07-20,8.42
2017-07-21,8.44
2017-07-24,8.42
2017-07-25,8.39
2017-07-26,8.38
2017-07-27,8.4
2017-07-28,8.35
2017-07-31,8.4
2017-08-01,8.42
2017-08-02,8.39
2017-08-03,8.43
2017-08-04,8.46
2017-08-07,8.45
2017-08-08,8.46
2017-08-09,8.45
2017-08-10,8.51
2017-08-11,8.56
2017-08-14,8.58
2017-08-16,8.52
2017-08-17,8.52
2017-08-18,8.49
2017-08-21,8.55
2017-08-22,8.53
2017-08-23,8.51
2017-08-24,8.47
2017-08-25,8.45
2017-08-28,8.46
2017-08-29,8.4
2017-08-30,8.44
2017-08-31,8.41
2017-09-01,8.44
2017-09-04,8.41
2017-09-05,8.48
2017-09-06,8.48
2017-09-07,8.5
2017-09-08,8.49
2017-09-11,8.53
2017-09-12,8.58
2017-09-13,8.56
2017-09-14,8.54
2017-09-15,8.55
2017-09-18,8.56
2017-09-19,8.51
2017-09-20,8.51
2017-09-21,8.5
2017-09-22,8.53
2017-09-25,8.54
2017-09-26,8.48
2017-09-27,8.49
2017-09-28,8.48
2017-09-29,8.48
2017-10-10,8.48
2017-10-11,8.42
2017-10-12,8.4
2017-10-13,8.39
2017-10-16,8.38
2017-10-17,8.36
2017-10-18,8.38
2017-10-19,8.36
2017-10-20,8.37
2017-10-23,8.37
2017-10-24,8.36
2017-10-25,8.34
2017-10-26,8.31
2017-10-27,8.28
2017-10-30,8.3
2017-10-31,8.28
2017-11-01,8.27
2017-11-02,8.22
2017-11-03,8.22
2017-11-06,8.24
2017-11-07,8.26
2017-11-08,8.23
2017-11-09,8.24
2017-11-10,8.24
2017-11-13,8.26
2017-11-14,8.27
2017-11-15,8.25
2017-11-16,8.23
2017-11-17,8.15
2017-11-20,8.1
2017-11-21,8.12
2017-11-22,8.11
2017-11-23,8.07
2017-11-24,8.05
2017-11-27,8.04
2017-11-28,8.05
2017-11-29,8.06
2017-11-30,8.02
2017-12-01,8.02
2017-12-04,8.04
2017-12-05,8.05
2017-12-06,8.02
2017-12-07,8.06
2017-12-08,8.06
2017-12-11,8.07
2017-12-12,8.06
2017-12-13,8.03
2017-12-14,8.04
2017-12-15,8.0
2017-12-18,8.02
2017-12-19,8.02
2017-12-20,8.01
2017-12-21,7.98
2017-12-22,7.97
2017-12-26,7.96
2017-12-27,7.94
2017-12-28,7.93
2017-12-29,7.9
2018-01-02,7.9
2018-01-03,7.87
2018-01-04,7.9
2018-01-05,7.94
2018-01-08,7.92
2018-01-09,7.93
2018-01-10,7.94
2018-01-11,7.97
2018-01-12,7.99
2018-01-15,7.97
2018-01-16,7.96
2018-01-17,7.98
2018-01-18,7.98
2018-01-19,8.01
2018-01-22,8.02
2018-01-23,8.01
2018-01-24,8.03
2018-01-25,8.04
2018-01-26,7.99
2018-01-29,8.0
2018-01-30,7.97
2018-01-31,7.98
2018-02-01,8.0
2018-02-02,7.98
2018-02-05,8.0
2018-02-06,8.06
2018-02-07,8.07
2018-02-08,7.99
2018-02-09,8.0
2018-02-12,8.02
2018-02-13,7.93
2018-02-14,7.93
2018-02-19,7.96
2018-02-20,7.88
2018-02-21,7.86
2018-02-22,7.9
2018-02-23,7.91
2018-02-26,7.89
2018-02-27,7.86
2018-02-28,7.83
2018-03-02,7.87
2018-03-05,7.86
2018-03-06,7.85
2018-03-07,7.81
2018-03-08,7.76
2018-03-09,7.75
2018-03-12,7.76
2018-03-13,7.73
2018-03-14,7.75
2018-03-15,7.76
2018-03-16,7.75
2018-03-19,7.78
2018-03-20,7.78
2018-03-21,7.79
2018-03-22,7.78
2018-03-23,7.77
2018-03-26,7.84
2018-03-27,7.87
2018-03-28,7.8
2018-03-29,7.77
2018-03-30,7.75
2018-04-02,7.73
2018-04-03,7.69
2018-04-04,7.68
2018-04-05,7.68
2018-04-06,7.7
2018-04-09,7.74
2018-04-10,7.76
2018-04-11,7.77
2018-04-12,7.75
2018-04-13,7.76
2018-04-16,7.78
2018-04-17,7.79
2018-04-18,7.76
2018-04-19,7.74
2018-04-20,7.72
2018-04-23,7.69
2018-04-24,7.69
2018-04-25,7.75
2018-04-26,7.75
2018-04-27,7.77
2018-04-30,7.75
2018-05-02,7.67
2018-05-03,7.71
2018-05-04,7.72
2018-05-08,7.69
2018-05-09,7.67
2018-05-10,7.68
2018-05-11,7.64
2018-05-14,7.66
2018-05-15,7.63
2018-05-16,7.64
2018-05-17,7.65
2018-05-18,7.68
2018-05-21,7.63
2018-05-23,7.67
2018-05-24,7.59
2018-05-25,7.64
2018-05-28,7.64
2018-05-29,7.67
2018-05-30,7.69
2018-05-31,7.73
2018-06-01,7.75
2018-06-04,7.74
2018-06-05,7.72
2018-06-07,7.72
2018-06-08,7.7
2018-06-11,7.7
2018-06-12,7.71
2018-06-14,7.72
2018-06-15,7.77
2018-06-18,7.83
2018-06-19,7.93
2018-06-20,7.94
2018-06-21,7.95
2018-06-22,7.86
2018-06-25,7.88
2018-06-26,7.88
2018-06-27,7.87
2018-06-28,7.88
2018-06-29,7.79
2018-07-02,7.8
2018-07-03,7.77
2018-07-04,7.8
2018-07-05,7.77
2018-07-06,7.77
2018-07-09,7.78
2018-07-10,7.76
2018-07-11,7.76
2018-07-12,7.79
2018-07-13,7.84
2018-07-16,7.81
2018-07-17,7.85
2018-07-18,7.83
2018-07-19,7.84
2018-07-20,7.81
2018-07-23,7.84
2018-07-24,7.79
2018-07-25,7.81
2018-07-26,7.8
2018-07-27,7.74
2018-07-30,7.77
2018-07-31,7.75
2018-08-01,7.75
2018-08-02,7.75
2018-08-03,7.76
2018-08-06,7.78
2018-08-07,7.76
2018-08-08,7.8
2018-08-09,7.75
2018-08-10,7.76
2018-08-13,7.78
2018-08-14,7.77
2018-08-16,7.75
2018-08-17,7.74
2018-08-20,7.7
2018-08-21,7.69
2018-08-22,7.67
2018-08-23,7.67
2018-08-24,7.66
2018-08-27,7.66
2018-08-28,7.62
2018-08-29,7.59
2018-08-30,7.57
2018-08-31,7.55
2018-09-03,7.56
2018-09-04,7.52
2018-09-05,7.46
2018-09-06,7.48
2018-09-07,7.53
2018-09-10,7.58
2018-09-11,7.59
2018-09-12,7.58
2018-09-13,7.6
2018-09-14,7.56
2018-09-17,7.56
2018-09-18,7.57
2018-09-19,7.58
2018-09-20,7.55
2018-09-21,7.54
2018-09-27,7.49
2018-09-28,7.46
2018-10-01,7.45
2018-10-02,7.45
2018-10-04,7.41
2018-10-05,7.44
2018-10-08,7.45
2018-10-10,7.43
2018-10-11,7.45
2018-10-12,7.5
2018-10-15,7.45
2018-10-16,7.45
2018-10-17,7.42
2018-10-18,7.42
2018-10-19,7.45
2018-10-22,7.47
2018-10-23,7.45
2018-10-24,7.48
2018-10-25,7.45
2018-10-26,7.5
2018-10-29,7.5
2018-10-30,7.48
2018-10-31,7.49
2018-11-01,7.49
2018-11-02,7.53
2018-11-05,7.53
2018-11-06,7.5
2018-11-07,7.58
2018-11-08,7.69
2018-11-09,7.69
2018-11-12,7.67
2018-11-13,7.64
2018-11-14,7.67
2018-11-15,7.66
2018-11-16,7.7
2018-11-19,7.72
2018-11-20,7.73
2018-11-21,7.73
2018-11-22,7.75
2018-11-23,7.74
2018-11-26,7.78
2018-11-27,7.81
2018-11-28,7.78
2018-11-29,7.77
2018-11-30,7.8
2018-12-03,7.83
2018-12-04,7.82
2018-12-05,7.77
2018-12-06,7.74
2018-12-07,7.7
2018-12-10,7.73
2018-12-11,7.73
2018-12-12,7.74
2018-12-13,7.72
2018-12-14,7.75
2018-12-17,7.74
2018-12-18,7.76
2018-12-19,7.79
2018-12-20,7.79
2018-12-21,7.8
2018-12-24,7.72
2018-12-26,7.73
2018-12-27,7.72
2018-12-28,7.7
2018-12-31,7.68
2019-01-02,7.78
2019-01-03,7.74
2019-01-04,7.82
2019-01-07,7.89
2019-01-08,7.93
2019-01-09,7.93
2019-01-10,7.94
2019-01-11,7.96
2019-01-14,7.96
2019-01-15,7.94
2019-01-16,7.95
2019-01-17,7.94
2019-01-18,7.91
2019-01-21,7.91
2019-01-22,7.92
2019-01-23,7.95
2019-01-24,7.96
2019-01-25,7.96
2019-01-28,7.99
2019-01-29,7.94
2019-01-30,7.93
2019-01-31,7.91
2019-02-01,7.96
2019-02-07,8.02
2019-02-08,8.04
2019-02-11,8.05
2019-02-12,8.01
2019-02-13,7.99
2019-02-14,7.98
2019-02-15,7.98
2019-02-18,7.97
2019-02-19,7.97
2019-02-20,8.0
2019-02-21,8.0
2019-02-22,8.0
2019-02-25,8.01
2019-02-26,8.0
2019-02-27,7.99
2019-02-28,7.97
2019-03-04,7.93
2019-03-05,7.96
2019-03-06,7.97
2019-03-07,7.98
2019-03-08,7.98
2019-03-11,7.92
2019-03-12,7.94
2019-03-13,7.91
2019-03-14,7.93
2019-03-15,7.94
2019-03-18,7.97
2019-03-19,7.96
2019-03-20,7.95
2019-03-21,7.97
2019-03-22,7.96
2019-03-25,7.98
2019-03-26,8.0
2019-03-27,7.99
2019-03-28,7.99
2019-03-29,7.99
2019-04-01,7.98
2019-04-02,7.96
2019-04-03,7.99
2019-04-04,7.98
2019-04-05,8.01
2019-04-08,8.05
2019-04-09,8.06
2019-04-10,8.09
2019-04-11,8.07
2019-04-12,8.06
2019-04-15,8.09
2019-04-16,8.06
2019-04-17,8.06
2019-04-18,8.07
2019-04-19,8.09
2019-04-22,8.1
2019-04-23,8.11
2019-04-24,8.11
2019-04-25,8.14
2019-04-26,8.17
2019-04-29,8.17
2019-04-30,8.16
2019-05-02,8.17
2019-05-03,8.17
2019-05-07,8.18
2019-05-08,8.19
2019-05-09,8.18
2019-05-10,8.19
2019-05-13,8.22
2019-05-14,8.21
2019-05-15,8.23
2019-05-16,8.23
2019-05-17,8.23
2019-05-20,8.25
2019-05-21,8.25
2019-05-22,8.24
2019-05-23,8.22
2019-05-24,8.24
2019-05-27,8.27
2019-05-28,8.23
2019-05-29,8.26
2019-05-30,8.29
2019-05-31,8.26
2019-06-03,8.34
2019-06-04,8.29
2019-06-05,8.28
2019-06-07,8.26
2019-06-10,8.26
2019-06-11,8.31
2019-06-12,8.3
2019-06-13,8.3
2019-06-14,8.3
2019-06-17,8.27
2019-06-18,8.28
2019-06-19,8.27
2019-06-20,8.25
2019-06-21,8.23
2019-06-24,8.21
2019-06-25,8.19
2019-06-26,8.17
2019-06-27,8.17
2019-06-28,8.18
2019-07-01,8.19
2019-07-02,8.19
2019-07-03,8.24
2019-07-04,8.29
2019-07-05,8.27
2019-07-08,8.31
2019-07-09,8.35
2019-07-10,8.35
2019-07-11,8.36
2019-07-12,8.35
2019-07-15,8.41
2019-07-16,8.47
2019-07-17,8.46
2019-07-18,8.44
2019-07-19,8.45
2019-07-22,8.42
2019-07-23,8.44
2019-07-24,8.43
2019-07-25,8.42
2019-07-26,8.44
2019-07-29,8.46
2019-07-30,8.44
2019-07-31,8.43
2019-08-01,8.43
2019-08-02,8.42
2019-08-05,8.43
2019-08-06,8.5
2019-08-07,8.51
2019-08-08,8.54
2019-08-09,8.53
2019-08-12,8.53
2019-08-13,8.53
2019-08-14,8.51
2019-08-16,8.49
2019-08-19,8.52
2019-08-20,8.51
2019-08-21,8.49
2019-08-22,8.46
2019-08-23,8.47
2019-08-26,8.53
2019-08-27,8.55
2019-08-28,8.51
2019-08-29,8.51
2019-08-30,8.54
2019-09-02,8.53
2019-09-03,8.54
2019-09-04,8.54
2019-09-05,8.55
2019-09-06,8.48
2019-09-09,8.49
2019-09-10,8.5
2019-09-11,8.48
2019-09-16,8.53
2019-09-17,8.43
2019-09-18,8.43
2019-09-19,8.47
2019-09-20,8.5
2019-09-23,8.47
2019-09-24,8.47
2019-09-25,8.46
2019-09-26,8.47
2019-09-27,8.46
2019-09-30,8.48
2019-10-01,8.45
2019-10-02,8.43
2019-10-04,8.49
2019-10-07,8.47
2019-10-08,8.45
2019-10-10,8.43
2019-10-11,8.45
2019-10-14,8.42
2019-10-15,8.37
2019-10-16,8.36
2019-10-17,8.38
2019-10-18,8.39
2019-10-21,8.35
2019-10-22,8.35
2019-10-23,8.34
2019-10-24,8.37
2019-10-25,8.33
2019-10-28,8.37
2019-10-29,8.34
2019-10-30,8.32
2019-10-31,8.33
2019-11-01,8.28
2019-11-04,8.32
2019-11-05,8.28
2019-11-06,8.31
2019-11-07,8.26
2019-11-08,8.29
2019-11-11,8.25
2019-11-12,8.26
2019-11-13,8.28
2019-11-14,8.29
2019-11-15,8.31
2019-11-18,8.29
2019-11-19,8.27
2019-11-20,8.29
2019-11-21,8.3
2019-11-22,8.35
2019-11-25,8.36
2019-11-26,8.36
2019-11-27,8.34
2019-11-28,8.34
2019-11-29,8.37
2019-12-02,8.37
2019-12-03,8.36
2019-12-04,8.41
2019-12-05,8.46
2019-12-06,8.46
2019-12-09,8.48
2019-12-10,8.49
2019-12-11,8.51
2019-12-12,8.5
2019-12-13,8.47
2019-12-16,8.38
2019-12-17,8.37
2019-12-18,8.34
2019-12-19,8.34
2019-12-20,8.33
2019-12-23,8.32
2019-12-24,8.32
2019-12-26,8.33
2019-12-27,8.32
2019-12-30,8.32
2019-12-31,8.31
2020-01-02,8.34
2020-01-03,8.33
2020-01-06,8.35
2020-01-07,8.39
2020-01-08,8.4
2020-01-09,8.45
2020-01-10,8.38
2020-01-13,8.44
2020-01-14,8.46
2020-01-15,8.44
2020-01-16,8.48
