,IDR(100)
2011-03-02,12.81
2011-03-03,12.8
2011-03-04,12.75
2011-03-07,12.7
2011-03-08,12.72
2011-03-09,12.72
2011-03-10,12.7
2011-03-11,12.73
2011-03-14,12.81
2011-03-15,12.89
2011-03-16,12.89
2011-03-17,12.91
2011-03-18,12.96
2011-03-21,12.87
2011-03-22,12.91
2011-03-23,12.86
2011-03-24,12.88
2011-03-25,12.88
2011-03-28,12.79
2011-03-29,12.79
2011-03-30,12.78
2011-03-31,12.7
2011-04-01,12.63
2011-04-04,12.58
2011-04-05,12.55
2011-04-06,12.58
2011-04-07,12.54
2011-04-08,12.54
2011-04-11,12.54
2011-04-12,12.53
2011-04-13,12.61
2011-04-14,12.62
2011-04-15,12.57
2011-04-18,12.56
2011-04-19,12.57
2011-04-20,12.6
2011-04-21,12.53
2011-04-22,12.52
2011-04-25,12.54
2011-04-26,12.54
2011-04-27,12.55
2011-04-28,12.52
2011-04-29,12.49
2011-05-02,12.53
2011-05-03,12.48
2011-05-04,12.53
2011-05-06,12.54
2011-05-09,12.65
2011-05-11,12.62
2011-05-12,12.61
2011-05-13,12.64
2011-05-16,12.75
2011-05-17,12.75
2011-05-18,12.73
2011-05-19,12.7
2011-05-20,12.68
2011-05-23,12.68
2011-05-24,12.73
2011-05-25,12.78
2011-05-26,12.76
2011-05-27,12.71
2011-05-30,12.64
2011-05-31,12.65
2011-06-01,12.62
2011-06-02,12.61
2011-06-03,12.64
2011-06-07,12.67
2011-06-08,12.69
2011-06-09,12.7
2011-06-10,12.71
2011-06-13,12.69
2011-06-14,12.72
2011-06-15,12.7
2011-06-16,12.66
2011-06-17,12.68
2011-06-20,12.67
2011-06-21,12.57
2011-06-22,12.58
2011-06-23,12.52
2011-06-24,12.52
2011-06-27,12.53
2011-06-28,12.61
2011-06-29,12.55
2011-06-30,12.51
2011-07-01,12.48
2011-07-04,12.48
2011-07-05,12.48
2011-07-06,12.48
2011-07-07,12.47
2011-07-08,12.47
2011-07-11,12.43
2011-07-12,12.43
2011-07-13,12.45
2011-07-14,12.44
2011-07-15,12.39
2011-07-18,12.39
2011-07-19,12.4
2011-07-20,12.4
2011-07-21,12.36
2011-07-22,12.37
2011-07-25,12.33
2011-07-26,12.37
2011-07-27,12.38
