,KWD
2010-12-06,4070.55
2010-12-07,4026.14
2010-12-08,4023.13
2010-12-09,4038.02
2010-12-10,4032.59
2010-12-13,4062.63
2010-12-14,4052.81
2010-12-15,4047.52
2010-12-16,4080.82
2010-12-17,4100.92
2010-12-20,4077.09
2010-12-21,4121.93
2010-12-22,4078.15
2010-12-23,4085.78
2010-12-24,4075.1
2010-12-27,4094.54
2010-12-28,4075.66
2010-12-29,4063.67
2010-12-30,4068.66
2010-12-31,4044.82
2011-01-03,4056.2
2011-01-04,4013.17
2011-01-05,3991.39
2011-01-06,3996.87
2011-01-07,3980.37
2011-01-10,3973.44
2011-01-11,3967.57
2011-01-12,3988.53
2011-01-13,3973.6
2011-01-14,3958.15
2011-01-17,3969.02
2011-01-18,3966.9
2011-01-19,3978.62
2011-01-20,3969.1
2011-01-21,3986.45
2011-01-24,4018.62
2011-01-25,4003.22
2011-01-26,3995.14
2011-01-27,4000.72
2011-01-28,3985.05
2011-01-31,3992.48
2011-02-01,4008.93
2011-02-07,3984.8
2011-02-08,3951.03
2011-02-09,3943.58
2011-02-10,3945.01
2011-02-11,3973.37
2011-02-14,3997.5
2011-02-15,4010.35
2011-02-16,4004.78
2011-02-17,4001.79
2011-02-18,3984.29
2011-02-21,3989.96
2011-02-22,3994.56
2011-02-23,4026.68
2011-02-24,4031.51
2011-02-25,4042.84
2011-02-28,4043.96
2011-03-02,4056.49
2011-03-03,4053.89
2011-03-04,4040.02
2011-03-07,4014.96
2011-03-08,4024.12
2011-03-09,4010.05
2011-03-10,4008.77
2011-03-11,4019.41
2011-03-14,4047.15
2011-03-15,4064.17
2011-03-16,4068.11
2011-03-17,4074.09
2011-03-18,4101.38
2011-03-21,4069.61
2011-03-22,4068.44
2011-03-23,4050.92
2011-03-24,4051.56
2011-03-25,4047.58
2011-03-28,4014.77
2011-03-29,4016.44
2011-03-30,4019.33
2011-03-31,3992.21
2011-04-01,3971.48
2011-04-04,3948.2
2011-04-05,3919.16
2011-04-06,3930.1
2011-04-07,3918.91
2011-04-08,3926.95
2011-04-11,3926.92
2011-04-12,3915.93
2011-04-13,3946.71
2011-04-14,3950.46
2011-04-15,3939.25
2011-04-18,3933.83
2011-04-19,3937.22
2011-04-20,3948.69
2011-04-21,3924.89
2011-04-22,3912.7
2011-04-25,3928.82
2011-04-26,3924.88
2011-04-27,3943.4
2011-04-28,3921.21
2011-04-29,3907.09
2011-05-02,3911.87
2011-05-03,3891.3
2011-05-04,3899.44
2011-05-06,3914.75
2011-05-09,3941.87
2011-05-11,3923.34
2011-05-12,3905.18
2011-05-13,3927.81
2011-05-16,3948.87
2011-05-17,3948.69
2011-05-18,3952.2
2011-05-19,3938.03
2011-05-20,3930.78
2011-05-23,3924.25
2011-05-24,3949.42
2011-05-25,3962.36
2011-05-26,3964.2
2011-05-27,3940.38
2011-05-30,3931.56
2011-05-31,3928.74
2011-06-01,3919.56
2011-06-02,3907.08
2011-06-03,3925.16
2011-06-07,3928.18
2011-06-08,3940.2
2011-06-09,3943.48
2011-06-10,3949.32
2011-06-13,3934.5
2011-06-14,3952.32
2011-06-15,3947.18
2011-06-16,3934.22
2011-06-17,3952.45
2011-06-20,3955.32
2011-06-21,3942.49
2011-06-22,3941.05
2011-06-23,3918.35
2011-06-24,3913.14
2011-06-27,3916.08
2011-06-28,3952.35
2011-06-29,3937.4
2011-06-30,3920.08
2011-07-01,3899.07
2011-07-04,3888.42
2011-07-05,3878.94
2011-07-06,3884.94
2011-07-07,3878.85
2011-07-08,3873.7
2011-07-11,3858.55
2011-07-12,3858.37
2011-07-13,3869.35
2011-07-14,3864.07
2011-07-15,3855.87
2011-07-18,3853.84
2011-07-19,3864.53
2011-07-20,3861.46
2011-07-21,3852.02
2011-07-22,3858.22
2011-07-25,3843.51
2011-07-26,3855.58
2011-07-27,3856.78
2011-07-28,3843.23
2011-07-29,3850.74
2011-08-01,3860.2
2011-08-02,3839.68
2011-08-03,3844.72
2011-08-04,3880.5
2011-08-05,3870.2
2011-08-08,3921.53
2011-08-09,3925.05
2011-08-10,4000.73
2011-08-11,3960.41
2011-08-12,3976.92
2011-08-16,3949.55
2011-08-17,3925.89
2011-08-18,3940.13
2011-08-19,3932.88
2011-08-22,3976.13
2011-08-23,3978.7
2011-08-24,3969.16
2011-08-25,3959.63
2011-08-26,3983.48
2011-08-29,3980.25
2011-08-30,3955.16
2011-08-31,3936.46
2011-09-01,3933.85
2011-09-02,3900.92
2011-09-05,3899.1
2011-09-06,3906.75
2011-09-07,3915.25
2011-09-08,3913.31
2011-09-09,3909.05
2011-09-14,3904.92
2011-09-15,3990.57
2011-09-16,4031.65
2011-09-19,4027.29
2011-09-20,4071.02
2011-09-21,4172.62
